tau,kappa,beta,tau_se,kappa_se,beta_se,convergence,length
1.0572058956004864,0.7652293359822899,0.11614153457225927,0.16097029456105796,0.033737573593962476,0.06627830985462098,0,500
1.1182093202901497,0.7674751560819044,0.02208175732337375,0.17432218366448943,0.03228203059161899,0.0603134588147335,0,500
1.172241005870975,0.7487584770634469,0.07749887710755045,0.16005230185779243,0.033140730531006656,0.05820600415194893,0,500
1.276230769650265,0.788813670555142,0.07160430362702186,0.19191191662446966,0.030511230871481932,0.058831357697225625,0,500
1.0762509956032797,0.7478196443299584,0.07271156925177268,0.16160872032300266,0.03421072342349741,0.06230772176992601,0,500
1.2217671821485014,0.7998166673666985,0.07638842748264507,0.19228566857180868,0.029706359549885583,0.05520480478092792,0,500
1.1967189213354925,0.7545089908966378,0.11581238940346558,0.1718184293096967,0.03394534588496299,0.0620896910461011,0,500
1.0574871411070925,0.7917840563554537,0.05083013217816539,0.1603799729682148,0.029739430567661325,0.053871285542136764,0,500
0.8904448501925796,0.8355804418108383,0.02272298898293214,0.15441709044627938,0.026254634116785726,0.05569948610615867,0,500
0.9730063192080839,0.7818629396130429,0.03684136937658724,0.16067126942223905,0.03183437423915129,0.058681976590254835,0,500
0.8759434489950793,0.8509395132232067,0.14437543122207258,0.15891056055777084,0.026584430444329534,0.049729350828401915,0,500
1.120304202653827,0.7589520809650804,0.1660168143070147,0.16838217576376333,0.03476371368620249,0.06059089305345436,0,500
1.0151158484602505,0.8391041142458436,0.13716851071649178,0.18320648995138547,0.02802055046983087,0.05815603697854173,0,500
0.9815200561048644,0.8036117410386183,0.1879374382257409,0.16621092259535253,0.03174571462586411,0.05713827994706646,0,500
1.2038043370952596,0.7700787045428972,0.11809531852878227,0.18672014924414304,0.032997556449056456,0.0587679868985652,0,500
0.8404170184373423,0.8216057020712573,0.1652321914502388,0.15492816020242914,0.03039657328972095,0.056125059436203426,0,500
0.9143014998693205,0.805767703928614,0.05883106999751467,0.14924713753045094,0.029319495128337508,0.0554993416014915,0,500
0.9263957061626721,0.8159744317378361,0.06446548445160706,0.15393984291373397,0.02865661275177689,0.05470331529130907,0,500
1.0441119438918232,0.8216368144735217,0.032969694395121193,0.17161039787213506,0.027462779594448504,0.054263893484365215,0,500
0.7719367252204147,0.8373809652853069,0.09251494007676317,0.14764923848008155,0.028091055890258818,0.05452980451803642,0,500
1.2970887490404925,0.7493787336073806,0.06859618931885264,0.17246831465504028,0.03275672357352171,0.05793791969861873,0,500
1.1163447439786942,0.769816079831861,0.045167363043860424,0.15534313365189623,0.03049507933225604,0.0551342469563996,0,500
1.190578307372034,0.7555857439180513,0.052698050977653114,0.17151123893886935,0.032308927416719764,0.05875281407350887,0,500
1.1462978867368538,0.8083850695076773,0.11542363862640297,0.18843481605347626,0.0317555639329706,0.058634606294550966,0,500
0.9829201955289305,0.8224103886387428,0.2145657266679339,0.1689144927531162,0.030303055621616313,0.05990528552868305,0,500
0.9194915915768808,0.8147171895148708,0.07206354398911244,0.15447014568413225,0.028775146267434763,0.052260925216398905,0,500
0.8229856705212802,0.810385367362362,0.09320613748904523,0.1442565098933496,0.02999563130051984,0.05353270060598792,0,500
0.8189125402789402,0.8387050081510146,0.18697774131584124,0.16657818411976,0.03206693903538688,0.06624440467520379,0,500
1.000542197878807,0.8232535904794687,0.019085282571281434,0.15951362553722181,0.027070595120621956,0.055036096652783556,0,500
0.9652303543218724,0.7896355865467322,0.17869550303992168,0.1649497543362499,0.033919633836446944,0.06709581672109101,0,500
0.5684491189250984,0.8810227295207679,0.1462975203456492,0.11920348437078315,0.024172268826476755,0.05075598478876721,0,500
1.1998908745447754,0.7688029871473852,0.10212615936585229,0.18232234265299105,0.03274440643158647,0.057237196033627154,0,500
1.0706508535022357,0.8033855081210047,0.25075505660098557,0.19773098541286324,0.034181606021246404,0.06361708035053913,0,500
0.8451304304051774,0.816791696399353,0.07890001801213517,0.14197343935458487,0.02871793030449053,0.05488470873635896,0,500
1.1360830898817624,0.7899317865567775,0.16633734943864917,0.19111195731068809,0.03306176921804454,0.0580314110096997,0,500
0.9007588986952982,0.8180074373570999,0.08024545844923218,0.16216505768508327,0.029659729965684493,0.06204578272188701,0,500
0.9814705153318217,0.8018101121781019,0.1901979212173794,0.16182662015965987,0.03181260368761751,0.058653110272761856,0,500
1.420338318247595,0.7623806003747049,0.01412649459910536,0.18744439692410814,0.03105251441631356,0.06181227912554829,0,500
1.4221783848732608,0.7123347375990975,0.011562923042398345,0.18342256143452204,0.03498451868980723,0.07186720639389078,0,500
1.1795750728166925,0.7507995399647138,0.075397098453914,0.16936942677007702,0.03335056830822335,0.059137832317448194,0,500
1.0698270788094915,0.8056748766157621,0.07331581231965924,0.17876490259280323,0.03024127318212598,0.0667934525353242,0,500
0.9004796688918583,0.7643434097649382,0.1982093857981348,0.1538273843781379,0.0361492639974042,0.06144153464911751,0,500
1.227482128130992,0.7345655006979686,0.010278469582526631,0.16014446695997972,0.03258945119561307,0.05693221879672414,0,500
0.8596991056342784,0.8162291381347863,0.125813463405384,0.1444109500075162,0.029462253843966273,0.056605752991553,0,500
0.9908760630465211,0.7925057289329893,0.06385815406447527,0.1533327722189536,0.030741382164561244,0.06791303751891076,0,500
1.2662830427283485,0.7495142546967553,0.060074188888160095,0.18523705460599874,0.03425044442324748,0.05857255093436383,0,500
1.5738266582489175,0.7210511789961456,0.1165600554146123,0.20981169201445696,0.036061621184117564,0.06384138836570609,0,500
1.1379412080897082,0.7955863277849358,0.06244696814924103,0.17427174878323146,0.029876762592882647,0.05804430781026217,0,500
0.945258285956854,0.8061522266467935,0.10891064798804194,0.15549814981373725,0.030119928986077186,0.05954206864911295,0,500
0.9152787615642971,0.8074981683377406,0.15448580064980702,0.1554304095323914,0.030690437534354614,0.05496912013338107,0,500
1.003000834920244,0.8141018971188853,0.06002483529053644,0.16259192048374185,0.028458813004305382,0.05701419005268488,0,500
1.1389168017583802,0.7756995300812695,0.11016002391900125,0.1694807130985549,0.031682593262368774,0.0561489705829443,0,500
1.08401928651927,0.7569008572672946,0.1741794740152079,0.16498757248022478,0.03506380446998058,0.05858112046067973,0,500
1.0877084811579376,0.7753157573175218,0.03508128620159253,0.16168496904267096,0.0308573538641802,0.055782677032527615,0,500
1.0023737720938435,0.8048100159652138,0.0550851404064407,0.1584463396989455,0.0289936157499066,0.05426040191989433,0,500
0.904138059357848,0.814673647919354,0.23110195463059452,0.1616689999989401,0.031695481952742084,0.05734712063432203,0,500
1.0793298045144717,0.7446112058298852,0.11415024577504629,0.15768158624465695,0.034446104984528665,0.05508805041023693,0,500
0.871686881231681,0.8023486067800836,0.16322293525337697,0.14609675648703124,0.031732242359346956,0.06363311951513317,0,500
1.0793302200040207,0.7578933304124461,0.10044673042671615,0.1668752484938149,0.03403867429929111,0.060304380358490596,0,500
0.7794404499373725,0.845755940861987,0.0339976794066002,0.13748191857869105,0.02549075178660743,0.04968483608016534,0,500
